site,barcode,sdate,catch
PEORIA TWZ,16006254,08/07/2001,3
BIG LAKE,16013807,08/20/2018,5
GRAND ISLMCB,16003078,07/08/1997,21
LAGRANGE TWZ,16005073,09/08/1999,2
Peoria TWZ,16012226,09/28/2015,1
LILLY LAKE,16006332,08/14/2001,1
BATH CHUTE,16009021,10/15/2007,3
BANNER,16009039,10/02/2007,1
BATH CHUTE,16013398,09/25/2017,16
GRAPE IS,16012475,09/21/2015,1
PEORIA TWZ,16003568,09/23/1997,1
KINGSTON MIN,16008189,09/20/2005,11
LAGRANGE TWZ,16004974,08/18/1999,15
SNICARTE SL,16003419,08/08/1997,6
bath fix,16007749,07/06/2004,38
BELOW PEKIN,16008610,10/05/2006,1
PANTHER,16005274,10/20/1999,2
towhead,16008964,09/26/2007,1
PEORIA TWZ,16003539,09/16/1997,4
,16000200,08/24/1993,1
WORLEY LAKE,16006694,06/18/2002,1
LAGRANGE TWZ,16006826,07/18/2002,4
MATANZAS,16013634,09/07/2018,1
GRAND ISLAND,16008052,08/02/2005,1
TOWHEAD,16011344,09/30/2013,1
BATH CHUTE,16003394,09/04/1997,1
Peoria TWZ,16009432,10/06/2008,1
,-1600762,09/25/1992,1
LIVERPOOL DT,16001212,07/25/1995,2
Bath Chute F,16007488,06/30/2003,443
,-1600262,07/26/1991,2
Peoria TWZ,16011486,08/13/2013,14
BAR ISLAND,16012620,08/23/2016,1
QUIVER MCBU,16004603,10/01/1998,1
MATANZAS,16008103,08/11/2005,7
MATANZAS,16005291,10/22/1999,1
MATANZAS LKE,16001461,09/25/1995,1
BATH CH FIX,16005008,08/26/1999,1
L BATH CHUTE,16002594,09/16/1996,1
LIVERPOOL,16006762,06/28/2002,417
Bath Chute,16007420,09/29/2003,1
MEYERS DITCH,16006496,09/20/2001,1
KINGSTON,16006232,08/01/2001,1
ABOVE BRWNNG,16006099,07/05/2001,1410
TREADWAY,16013056,08/15/2017,2
,16000683,08/11/1994,1
GRAPE/BAR,16011607,09/26/2013,1
RM 147,16013688,09/28/2018,1
,-1600748,09/21/1992,1
BATH CHUTE,16013398,09/25/2017,1
BATH CHUTE,16005258,10/18/1999,3
BATH FIX,16008109,08/03/2005,1
peoria twz,16007527,09/02/2003,1
BL LIVERPOOL,16011393,06/18/2013,1
Peoria TWZ,16012684,09/20/2016,1
LILY LAKE,16005840,10/02/2000,2
CHAIN LAKE,16008936,09/17/2007,1
SOUTH OF LIV,16006532,09/27/2001,4
LAGRANGE TWZ,16004867,07/23/1999,5
S OF GRAPE,16010405,08/16/2011,1
,16000556,07/15/1994,1
BATH CH,16006821,07/16/2002,1
LAGRANGE TWZ,16004803,07/01/1999,2
TOWHEAD,16006104,07/06/2001,1
grape is,16011046,08/17/2012,2
bath chute,16007662,06/21/2004,1
BATH CHUTE,16006157,07/12/2001,2
MATANZAS,16004614,10/06/1998,4
TREADWAY,16013839,08/29/2018,1
CLEAR LK MC,16008194,09/26/2005,9
TOWHEAD ISL,16001506,10/10/1995,1
Bath Fixed,16009896,07/09/2010,1
TREADWAY LKE,16006156,07/12/2001,1
RM148,16010440,08/16/2011,1
MASCOOTEN,16004666,10/16/1998,3
BAR ISLAND,16012476,09/21/2015,1
MEYERS DITCH,16013369,09/05/2017,2
LILY LAKE,16006997,09/12/2002,1
RM 114,16013308,08/14/2017,21
Above Btown,16007313,09/09/2003,1
,16000236,09/03/1993,1
BATH CHUTE,16010590,10/25/2011,1
-,16005029,08/30/1999,1
,-1600391,09/19/1991,5
QUIVER,16009059,09/20/2007,1
,16000436,10/27/1993,3
CRANE LAKE,16009386,09/22/2008,1
MATANZAS,16008751,07/13/2007,79
CRANE LAKE,16010020,06/30/2010,1
BANNER,16009503,08/10/2009,1
,16000051,07/01/1993,1
MATANZAS,16011931,07/28/2014,1
Peoria TWZ,16013595,08/08/2018,1
RM 125,16011987,08/08/2014,88
LIVERPOOL,16008895,08/31/2007,1
PATTERSON BA,16008918,08/28/2007,1
PEORIA TWZ,16003943,07/10/1998,7
L BATH CHUTE,16002602,09/19/1996,66
BATH CHUTE,16006452,09/17/2001,2
RM 125,16011362,10/17/2013,1
LAGRANGE TWZ,16005323,06/16/2000,31
BATH CHUTE,16011594,09/24/2013,1
,-1600313,08/22/1991,1
BATH CHUTE,16006131,07/09/2001,1
TREADWAY,16004143,09/01/1998,1
BATH CHUTE,16008542,10/06/2006,1
LILY LAKE,16003631,10/06/1997,1
RM 94,16013680,09/24/2018,1
